EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,Sum of Relay1 TCL (ms) (Duration: Relay1 Tx Propose -> Relay1 Tx Commit),Sum of Relay2 TCL (ms) (Duration: Relay2 Tx Propose -> Relay2 Tx Commit),Sum of innerShardTx TCL (ms),Sum of CTX TCL (ms) (Duration: Relay1 Tx Propose -> Relay2 Tx Commit),Sum of All Tx TCL (sec.)
0,53557.50000000000000000000000000000000000000000000000000000000,15810,48453,27042,1042072833,347358896,344600847,828041951,1172664.81264232122339308261871337890625000000000000000000000000
1,67849.50000000000000000000000000000000000000000000000000000000,41810,27569,24510,1265435202,1070667337,2367591001,1850099432,4217723.83052080683410167694091796875000000000000000000000000000
2,60682.00000000000000000000000000000000000000000000000000000000,41543,20476,17802,1440443378,1111790310,3438790780,1975978810,5445679.70544046629220247268676757812500000000000000000000000000
3,72984.50000000000000000000000000000000000000000000000000000000,53969,19009,19022,2101865536,1646496049,6166796220,2815780269,8982613.44216124527156352996826171875000000000000000000000000000
4,40721.50000000000000000000000000000000000000000000000000000000,23564,7790,26525,1197710770,2116616688,3244149988,4833338850,8077514.04058579728007316589355468750000000000000000000000000000
5,4205.00000000000000000000000000000000000000000000000000000000,5,2,8398,360712,743505491,918510,1751222410,1752144.94312039297074079513549804687500000000000000000000000000
