EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch
0,53557.50000000000000000000000000000000000000000000000000000000,15810,48453,27042
1,67849.50000000000000000000000000000000000000000000000000000000,41810,27569,24510
2,60682.00000000000000000000000000000000000000000000000000000000,41543,20476,17802
3,72984.50000000000000000000000000000000000000000000000000000000,53969,19009,19022
4,40721.50000000000000000000000000000000000000000000000000000000,23564,7790,26525
5,4205.00000000000000000000000000000000000000000000000000000000,5,2,8398
