EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,Epoch start time,Epoch end time,Avg. TPS of this epoch
0,53557.50000000000000000000000000000000000000000000000000000000,15810,48453,27042,1746704551177,1746704608074,941.31120972038684158178512006998062133789062500000000000000
1,67849.50000000000000000000000000000000000000000000000000000000,41810,27569,24510,1746704614723,1746704679900,1041.00805353086047944088932126760482788085937500000000000000
2,60682.00000000000000000000000000000000000000000000000000000000,41543,20476,17802,1746704685415,1746704742703,1059.24387177881044408422894775867462158203125000000000000000
3,72984.50000000000000000000000000000000000000000000000000000000,53969,19009,19022,1746704750740,1746704806869,1300.29889815745173109462484717369079589843750000000000000000
4,40721.50000000000000000000000000000000000000000000000000000000,23564,7790,26525,1746704815497,1746704868659,765.99378622845972586219431832432746887207031250000000000000
5,4205.00000000000000000000000000000000000000000000000000000000,5,2,8398,1746704875814,1746704893241,241.29956820346069434890523552894592285156250000000000000000
