EpochID,Total tx # in this epoch,CTX # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,CTX ratio of this epoch
0,53557.50000000000000000000000000000000000000000000000000000000,37747.50000000000000000000000000000000000000000000000000000000,15810,48453,27042,0.70480324884469958135468914406374096870422363281250000000
1,67849.50000000000000000000000000000000000000000000000000000000,26039.50000000000000000000000000000000000000000000000000000000,41810,27569,24510,0.38378322611073034664741499000228941440582275390625000000
2,60682.00000000000000000000000000000000000000000000000000000000,19139.00000000000000000000000000000000000000000000000000000000,41543,20476,17802,0.31539830592267886766322249059157911688089370727539062500
3,72984.50000000000000000000000000000000000000000000000000000000,19015.50000000000000000000000000000000000000000000000000000000,53969,19009,19022,0.26054162185121498840345566350151784718036651611328125000
4,40721.50000000000000000000000000000000000000000000000000000000,17157.50000000000000000000000000000000000000000000000000000000,23564,7790,26525,0.42133762263177926277180063152627553790807723999023437500
5,4205.00000000000000000000000000000000000000000000000000000000,4200.00000000000000000000000000000000000000000000000000000000,5,2,8398,0.99881093935790721261014368792530149221420288085937500000
