Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,2948,2000,1463,0,1746704551617,1746704552705,13072081,9562311,0
2,0,8889,2000,1037,532,1746704556616,1746704558044,23722494,12292739,6321558
3,0,14094,2000,1460,0,1746704561620,1746704562798,33166438,24211529,0
4,0,16262,2000,1119,528,1746704566630,1746704567552,42685305,23864089,11293130
5,0,18279,2000,1134,482,1746704571623,1746704572911,53381484,30252952,12884077
6,0,22964,2000,1557,0,1746704576636,1746704578849,65205062,50762153,0
7,0,24720,2000,465,1318,1746704581623,1746704583136,73827877,17147109,48678755
8,0,27134,2000,1480,0,1746704586628,1746704588789,85020709,62915201,0
9,0,28063,2000,1494,0,1746704591634,1746704592644,64394028,48145451,0
10,0,34093,2000,1438,91,1746704596632,1746704597661,74012530,52225066,4681768
11,0,36834,2000,1063,560,1746704601630,1746704602665,90983219,43908338,31503211
12,0,38640,2000,1250,298,1746704606637,1746704608074,97889144,58361867,18423766
14,1,39596,2000,735,259,1746704616649,1746704617768,114165692,41428568,16043005
15,1,40167,2000,602,183,1746704621661,1746704622531,124974928,36783948,13957008
16,1,43626,2000,78,208,1746704626671,1746704628180,133490389,5205487,13897478
17,1,48429,2000,392,241,1746704631680,1746704633022,143153788,28055736,17257955
18,1,49134,2000,591,485,1746704636664,1746704637885,146709950,38769200,39190918
19,1,51805,2000,933,81,1746704641655,1746704642903,132877240,61911331,5528527
20,1,55403,2000,715,207,1746704646656,1746704647666,145347827,50837936,17863580
21,1,57305,2000,579,321,1746704651738,1746704653043,155408707,44268220,27041889
22,1,58355,2000,569,428,1746704656675,1746704657693,166835878,46131535,39392194
23,1,59913,2000,572,445,1746704661663,1746704662865,156276153,42953882,42626771
24,1,65694,2000,409,363,1746704666679,1746704668901,160223315,31572895,33855770
25,1,67360,2000,277,71,1746704671691,1746704673533,164709442,22663981,6879975
26,1,67628,2000,647,31,1746704676687,1746704678440,174376789,56106038,3627310
28,2,66009,2000,661,246,1746704686675,1746704688516,197382294,63963551,27649448
29,2,70330,2000,768,281,1746704692062,1746704693950,207681885,78479742,32028343
30,2,71468,2000,543,289,1746704696665,1746704697705,213891678,57513045,32674749
31,2,72687,2000,197,871,1746704701676,1746704703189,253301717,23028401,126234876
32,2,76329,2000,234,1710,1746704706670,1746704707893,290371870,27994812,255585181
33,2,78530,2000,105,833,1746704711679,1746704713037,232458469,11350430,118278768
34,2,79740,2000,135,189,1746704716693,1746704717857,210355270,13689889,26706458
35,2,78229,2000,521,250,1746704721679,1746704723363,218944259,55694605,31866598
36,2,76635,2000,515,215,1746704726685,1746704727751,231104471,57300395,32500070
37,2,74967,2000,1141,118,1746704731662,1746704733087,237863558,133015163,18462293
38,2,73271,2000,459,120,1746704736679,1746704737953,242843473,55732437,14574866
39,2,71567,2000,94,154,1746704741724,1746704742703,258458118,11858531,25576580
41,3,47064,2000,407,274,1746704751683,1746704753561,256880196,50938416,44038113
42,3,45850,2000,403,225,1746704757081,1746704758667,260431890,51186074,34982236
43,3,44573,2000,218,0,1746704761688,1746704763113,262852026,28650894,0
44,3,43358,2000,342,166,1746704766697,1746704767865,275338105,46562963,25642473
45,3,41986,2000,422,348,1746704771750,1746704773357,270598946,55078564,58216943
46,3,40802,2000,481,92,1746704776681,1746704778552,266164591,63358921,14835631
47,3,39523,2000,227,26,1746704781687,1746704783065,274313353,30920459,5429034
48,3,38305,2000,432,190,1746704786692,1746704788301,287637961,61097070,31653171
49,3,36702,2000,513,215,1746704791692,1746704792978,291603999,72150714,35760453
50,3,35323,2000,503,132,1746704796678,1746704797951,274827297,68389440,20853130
51,3,34000,2000,268,260,1746704801693,1746704803387,291746450,37886663,45772997
53,4,28147,2000,290,126,1746704815497,1746704816786,315208523,44873918,25234641
54,4,26463,2000,367,718,1746704816878,1746704818214,343115349,56594957,157150034
55,4,24998,2000,448,161,1746704821887,1746704823663,282681592,61132361,31745696
56,4,23407,2000,324,317,1746704826882,1746704828436,291158660,45745156,53545460
57,4,21509,2000,282,175,1746704832122,1746704833743,302667316,41304160,35361656
58,4,19547,2000,377,224,1746704836887,1746704838341,303796822,54567380,42579227
59,4,17547,2000,428,284,1746704841884,1746704843006,293400954,60189426,52072560
60,4,15547,2000,335,161,1746704846894,1746704848745,298701220,49018029,29618306
61,4,13564,2000,327,117,1746704851915,1746704853610,310606240,49430454,25960817
62,4,11564,2000,73,1642,1746704856883,1746704858216,417554064,11777142,358670622
63,4,9564,2000,1166,796,1746704861872,1746704863225,467178887,253890066,205400102
64,4,7564,2000,839,937,1746704866866,1746704868209,427318848,145182008,241943736
66,5,3894,2000,0,2000,1746704876908,1746704877880,467573563,0,467573563
67,5,1894,2000,0,2000,1746704881869,1746704883339,416212931,0,416212931
68,5,0,1894,1,1889,1746704886876,1746704888355,379168458,185902,378238856
69,5,0,0,0,0,1746704891809,1746704893113,0,0,0
70,5,0,0,0,0,1746704896809,1746704898292,0,0,0
71,5,0,0,0,0,1746704901810,1746704903048,0,0,0
72,5,0,0,0,0,1746704906810,1746704908178,0,0,0
