Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,1400,2000,1296,321,1746704553394,1746704554319,16286776,10549579,2620136
2,0,1433,2000,776,979,1746704558402,1746704559315,26226880,10150664,12870569
3,0,1087,2000,728,1054,1746704563407,1746704564444,36112573,13005808,19235003
4,0,691,2000,610,1191,1746704568402,1746704569374,34046256,4884578,27568135
5,0,777,2000,900,870,1746704573404,1746704574606,39006971,11873056,24099795
6,0,1662,1305,489,679,1746704578414,1746704579644,20973589,3505812,16164822
7,0,1684,2000,578,1247,1746704583408,1746704584729,45958968,4738983,39785059
8,0,1797,2000,951,853,1746704588450,1746704590401,42736478,13156327,26868500
9,0,2158,2000,794,1048,1746704593418,1746704594676,59633489,14338234,42442000
10,0,1947,2000,476,1395,1746704598418,1746704599904,55136565,4151965,49909587
11,0,2216,2000,739,1067,1746704603417,1746704604524,52241813,9447557,40313265
13,1,76,1630,627,847,1746704614723,1746704615887,58290992,15116408,39413742
14,1,0,1057,403,531,1746704619703,1746704620382,28219550,1578391,26159405
15,1,196,892,403,370,1746704624699,1746704626664,25740926,4097234,20433782
16,1,203,541,242,237,1746704629691,1746704630689,16110610,3426739,11805875
17,1,575,1228,791,316,1746704634704,1746704637189,24965931,7023040,16833167
18,1,360,1181,651,360,1746704639708,1746704641764,29042873,6581271,20742749
19,1,103,1410,666,451,1746704644712,1746704645335,40861935,9073482,27796022
20,1,213,772,254,427,1746704649699,1746704650419,31090975,2213516,28217110
21,1,69,1068,694,209,1746704654706,1746704655468,23496605,5995485,16075722
22,1,153,909,557,205,1746704659703,1746704660528,25996770,7603733,16386036
23,1,453,1049,537,367,1746704664705,1746704668199,31330300,6076169,23596468
24,1,151,1116,649,286,1746704669705,1746704670435,23050319,5473872,16049609
25,1,839,1036,626,240,1746704674741,1746704676407,26552158,8992175,15118319
27,2,0,1101,531,345,1746704685415,1746704687116,44193374,13299432,25258167
28,2,598,625,168,348,1746704690406,1746704693428,30267074,1049421,28536239
29,2,198,1396,780,385,1746704695428,1746704696402,41662631,7155291,32388688
30,2,422,1197,588,419,1746704700418,1746704702614,45444977,9020916,33509581
31,2,247,1003,522,251,1746704705417,1746704706494,28655544,4604728,20959548
32,2,350,1028,476,397,1746704710410,1746704712772,39196584,4942806,32643872
33,2,688,753,356,309,1746704715407,1746704717492,31686094,5363113,24997075
34,2,0,973,498,285,1746704720411,1746704722941,38676165,10201014,24583133
35,2,0,449,0,449,1746704725403,1746704726466,39546327,0,39546327
36,2,0,440,0,440,1746704730408,1746704732569,37158033,0,37158033
37,2,0,532,0,532,1746704735405,1746704737523,55218898,0,55218898
38,2,0,324,0,324,1746704740400,1746704741062,30881398,0,30881398
40,3,28791,2000,177,1647,1746704750740,1746704752620,174860004,13250719,148579614
41,3,27188,2000,445,212,1746704755774,1746704757971,273887523,62929587,21038162
42,3,25539,2000,473,330,1746704760778,1746704761256,284186380,66713952,47608578
43,3,23784,2000,492,82,1746704765781,1746704767146,270805996,66617492,11105866
44,3,22073,2000,490,0,1746704770769,1746704773091,262168727,64309231,0
45,3,20504,2000,533,243,1746704775770,1746704778255,251974987,66165705,35815229
46,3,18832,2000,516,0,1746704780788,1746704782622,241294065,62253830,0
47,3,17157,2000,494,0,1746704785779,1746704787495,251025405,62003260,0
48,3,15454,2000,262,1271,1746704790759,1746704792026,332851665,34719065,235770848
49,3,13638,2000,502,42,1746704795778,1746704797122,221929946,55183777,6691252
50,3,11864,2000,499,0,1746704800781,1746704802639,230872669,57602810,0
51,3,9988,2000,548,224,1746704805801,1746704806869,232774589,62524274,31917426
53,4,9143,2000,233,13,1746704815894,1746704817336,229974168,26786369,1540071
54,4,7257,2000,496,16,1746704820897,1746704823397,242917009,60023044,2825282
55,4,5389,2000,405,610,1746704825893,1746704826934,278159882,52846790,97747219
56,4,3561,2000,98,1702,1746704830902,1746704833472,320844874,12841347,281796080
57,4,1612,2000,69,1898,1746704835866,1746704838054,340415096,11083300,324546425
58,4,0,1696,0,1696,1746704840844,1746704841955,272391534,0,272391534
59,4,0,125,0,125,1746704845800,1746704848311,18241789,0,18241789
60,4,0,85,0,85,1746704850800,1746704852375,12761096,0,12761096
61,4,0,76,0,76,1746704855801,1746704858094,11829175,0,11829175
62,4,0,9,0,9,1746704860798,1746704863101,1501606,0,1501606
63,4,0,2,0,2,1746704865799,1746704868042,412123,0,412123
65,5,0,404,0,404,1746704875814,1746704876864,81995597,0,81995597
66,5,0,0,0,0,1746704880800,1746704883130,0,0,0
67,5,0,0,0,0,1746704885800,1746704888191,0,0,0
68,5,0,0,0,0,1746704890800,1746704892913,0,0,0
69,5,0,0,0,0,1746704895801,1746704897966,0,0,0
70,5,0,0,0,0,1746704900802,1746704902749,0,0,0
71,5,0,0,0,0,1746704905802,1746704908067,0,0,0
