Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,2663,2000,1561,0,1746704552797,1746704553336,14346061,11197381,0
2,0,2750,2000,1235,429,1746704557803,1746704558785,25195509,15549120,5415911
3,0,2210,2000,742,1104,1746704562798,1746704563681,34947768,12941714,19319193
4,0,5066,2000,652,1169,1746704567806,1746704568539,42664989,12726459,26102804
5,0,5613,2000,1365,204,1746704572815,1746704573906,28134897,17120917,5608138
6,0,7525,2000,1233,384,1746704577815,1746704579224,41502227,22002422,12665209
7,0,8841,2000,1230,383,1746704582817,1746704584132,49289282,27958108,12534550
8,0,11455,2000,899,849,1746704587812,1746704589647,65294401,25369018,32813989
9,0,12867,2000,1551,0,1746704592817,1746704593740,39596758,30685508,0
10,0,13971,2000,822,916,1746704597867,1746704599338,67908905,18751220,43181042
11,0,15619,2000,1524,17,1746704602821,1746704603445,54054505,40993111,715505
13,1,19246,2000,443,422,1746704614793,1746704615799,84145020,17375500,22251744
14,1,18080,2000,575,149,1746704617848,1746704618519,86098066,24101911,8511748
15,1,20597,2000,491,477,1746704622838,1746704623825,102662289,23174137,30780737
16,1,21589,2000,468,511,1746704627848,1746704628953,88809599,17843115,31493956
17,1,22543,2000,548,198,1746704632844,1746704633982,90305560,23151335,14177579
18,1,24359,2000,446,411,1746704637847,1746704638723,98191762,20946405,23564815
19,1,26892,2000,525,197,1746704642847,1746704643957,110349046,27393619,16271044
20,1,26691,2000,355,851,1746704647840,1746704648663,134375568,20752954,66795759
21,1,29510,2000,117,1624,1746704652831,1746704654222,165275665,9279930,138302467
22,1,30540,2000,152,1684,1746704657829,1746704658532,180617516,12383078,154958662
23,1,33248,2000,87,1738,1746704662873,1746704663815,164875201,5750289,148367202
24,1,33743,2000,515,203,1746704667847,1746704669155,109783348,27135525,15100234
25,1,35177,2000,399,610,1746704672844,1746704673876,144403053,22897231,64635769
26,1,35616,2000,647,0,1746704677855,1746704679900,126776965,41012857,0
28,2,38198,2000,269,394,1746704687883,1746704689062,152715435,19508561,36244989
29,2,38403,2000,304,314,1746704692857,1746704694301,139453387,19055408,33771850
30,2,40742,2000,410,0,1746704697857,1746704698646,134004843,27471601,0
31,2,42647,2000,193,747,1746704702859,1746704703897,160105822,13940857,69598322
32,2,42627,2000,376,219,1746704707867,1746704709346,160059626,29196670,21757130
33,2,44386,2000,335,613,1746704712869,1746704713878,190376177,27523059,76427214
34,2,45036,2000,285,650,1746704717867,1746704718398,188274034,23735128,75570421
35,2,43664,2000,392,85,1746704722857,1746704724003,154818086,30258627,6998763
36,2,42241,2000,302,195,1746704727859,1746704728701,176568393,24724121,28796999
37,2,40953,2000,281,444,1746704732865,1746704734028,188200299,24496378,52554153
38,2,39475,2000,353,291,1746704737875,1746704738792,202772024,32447545,45680561
40,3,31272,2000,634,138,1746704751001,1746704752931,212066383,67223668,14635544
41,3,29601,2000,403,289,1746704753067,1746704754333,205724114,37950124,43183966
42,3,28030,2000,384,313,1746704758063,1746704759419,204123799,37410079,39776353
43,3,26378,2000,367,73,1746704763077,1746704764636,205207539,37655029,7492670
44,3,24798,2000,396,192,1746704768076,1746704768695,222602176,42226210,29812437
45,3,23251,2000,119,1392,1746704773061,1746704774088,321016553,15290723,241209034
46,3,21728,2000,218,1054,1746704778054,1746704779038,280795008,23513976,178221064
47,3,20106,2000,467,82,1746704783069,1746704784134,201679221,45264288,15775697
48,3,18553,2000,388,288,1746704788097,1746704789120,219987660,39528136,45576713
49,3,16855,2000,330,513,1746704793064,1746704793530,236311086,35067067,78296873
50,3,15239,2000,520,0,1746704798083,1746704798681,213730979,55637231,0
51,3,13378,2000,414,311,1746704803112,1746704804629,221549472,42343950,48798820
53,4,13098,2000,291,350,1746704815888,1746704817315,250844349,33440547,61234451
54,4,11345,2000,255,261,1746704820892,1746704823346,253694222,30834020,43418737
55,4,9646,2000,315,137,1746704825890,1746704827230,253502922,39304700,21043062
56,4,7797,2000,152,1696,1746704830861,1746704833223,379192171,27465741,324154424
57,4,6024,2000,47,1855,1746704835870,1746704838055,362256189,6688570,341713975
58,4,4195,2000,0,2000,1746704840869,1746704842275,342083182,0,342083182
59,4,2526,2000,22,979,1746704845869,1746704848830,353537430,3610741,183337974
60,4,526,2000,0,2000,1746704850853,1746704852568,349776322,0,349776322
61,4,48,699,0,699,1746704855831,1746704858239,110877325,0,110877325
62,4,1161,48,0,48,1746704860806,1746704863254,8023428,0,8023428
63,4,829,1161,0,1161,1746704865821,1746704868251,258729420,0,258729420
65,5,0,1366,1,1364,1746704875847,1746704877260,259516287,174810,259166667
66,5,0,0,0,0,1746704880804,1746704883428,0,0,0
67,5,0,0,0,0,1746704885804,1746704888281,0,0,0
68,5,0,1,0,1,1746704890805,1746704893241,190788,0,190788
69,5,0,0,0,0,1746704895805,1746704898292,0,0,0
70,5,0,0,0,0,1746704900806,1746704902794,0,0,0
71,5,0,0,0,0,1746704905806,1746704908178,0,0,0
